contract,date,roll_flag,daily_close,daily_return,daily_mean_vpin,daily_max_vpin,daily_vpin_slope,daily_vpin_zscore,daily_vpin_percentile,future_return,signal_raw,position,vpin_high_flag,slope_positive_flag
T,2015-03-20,False,97.09,,0.32455421678441704,0.4015290358468573,,,,-0.0007209805335256503,1.0,1.0,False,False
T,2015-03-23,False,97.02,-0.0007209805335256503,0.24209865127725277,0.30292854798609464,,,,-0.001030715316429509,1.0,1.0,False,False
T,2015-03-24,False,96.92,-0.001030715316429509,0.5137368547799022,0.6036181439925529,,,,-0.0007222451506397887,1.0,1.0,False,False
T,2015-03-25,False,96.85,-0.0007222451506397887,0.49509737156884326,0.5391593519126531,,,,-0.004956117707795471,1.0,1.0,False,False
T,2015-03-26,False,96.37,-0.004956117707795471,0.5050089436199511,0.5972173603402889,0.06139081739626586,,,0.001245200788626999,1.0,1.0,False,True
T,2015-03-27,False,96.49,0.001245200788626999,0.6107255055632104,0.6789390706643736,0.07285257974119641,,,-0.003420043527826655,1.0,1.0,False,True
T,2015-03-30,False,96.16,-0.003420043527826655,0.4762811917533442,0.5229451233155007,0.004071680794125121,,,-0.0053036605657237335,1.0,1.0,False,True
T,2015-03-31,False,95.65,-0.0053036605657237335,0.3062857099827532,0.3964635740749054,-0.040635107503878706,,,0.004652378463146922,1.0,1.0,False,False
T,2015-04-01,False,96.095,0.004652378463146922,0.43040307126311156,0.5773228003617862,-0.04536515402941362,,,0.002341432956969536,1.0,1.0,False,False
T,2015-04-02,False,96.32,0.002341432956969536,0.6167738105438074,0.6885697607726968,-0.003378151052903855,,,-0.0032184385382058034,1.0,1.0,False,False
T,2015-04-03,False,96.01,-0.0032184385382058034,0.48885780479759566,0.5243155854041931,0.03356413266495571,,,-0.0008332465368190434,1.0,1.0,False,True
T,2015-04-07,False,95.93,-0.0008332465368190434,0.6025895892370122,0.6685189578461385,0.06510624920430022,,,-0.008026686125299776,1.0,1.0,False,True
T,2015-04-08,False,95.16,-0.008026686125299776,0.5460983298824585,0.6191070516308204,0.021720629593189877,,,0.0011034047919293855,1.0,1.0,False,True
T,2015-04-09,False,95.265,0.0011034047919293855,0.507008033160429,0.5733327593860297,-0.016229102968189402,,,-0.000787277594079705,1.0,1.0,False,False
T,2015-04-10,False,95.19,-0.000787277594079705,0.4302437261764313,0.47187486116345534,-0.021280971331891198,,,0.004622334278810758,1.0,1.0,False,False
T,2015-04-13,False,95.63,0.004622334278810758,0.5221493333020049,0.608843807951159,-0.027673511557604197,,,-0.0006274181742131901,1.0,1.0,False,False
T,2015-04-14,False,95.57,-0.0006274181742131901,0.5093261102046237,0.5550056915290769,-0.005840313921409379,,,0.006068850057549646,1.0,1.0,False,False
T,2015-04-15,False,96.15,0.006068850057549646,0.5555050108871178,0.6216384975151106,0.017607633948157002,,,0.00031201248049916863,1.0,1.0,False,True
T,2015-04-16,False,96.18,0.00031201248049916863,0.44264953241524896,0.535105326999413,0.005816729006274823,,,0.0012476606363067688,1.0,1.0,False,True
T,2015-04-17,False,96.3,0.0012476606363067688,0.5208562532691843,0.6691255640090227,-0.006926273785501591,,,0.00986500519210809,1.0,1.0,False,False
T,2015-04-20,False,97.25,0.00986500519210809,0.4705146698922355,0.6466865040831173,-0.011227163824270992,,,0.001439588688946003,1.0,1.0,False,False
T,2015-04-21,False,97.39,0.001439588688946003,0.4884955755368186,0.5983570696322233,-0.010615373322361182,,,0.00030803983981919636,1.0,1.0,False,False
T,2015-04-22,False,97.42,0.00030803983981919636,0.4659104768589267,0.5633529039921686,0.001416121115498986,,,-0.0008211866146581315,1.0,1.0,False,True
T,2015-04-23,False,97.34,-0.0008211866146581315,0.5645029673498944,0.661525601577131,0.008268923512811138,,,-0.0031847133757961776,1.0,1.0,False,True
T,2015-04-24,False,97.03,-0.0031847133757961776,0.539020791608084,0.5879788702869326,0.02130196352447728,,,0.0075234463567968035,1.0,1.0,False,True
T,2015-04-27,False,97.76,0.0075234463567968035,0.5877289451933495,0.6706438674293909,0.02715770540622191,,,-0.00020458265139122744,1.0,1.0,False,True
T,2015-04-28,False,97.74,-0.00020458265139122744,0.44887739596389853,0.5294656901708846,-0.0010840183946601244,,,-0.0005115612850419282,1.0,1.0,False,False
T,2015-04-29,False,97.69,-0.0005115612850419282,0.4153438847541756,0.47289797095591696,-0.0388461560835623,,,0.0027126625038387253,1.0,1.0,False,False
T,2015-04-30,False,97.955,0.0027126625038387253,0.5215036820382917,0.6150399881560699,-0.020741927957875862,,,-0.004593946199785592,1.0,1.0,False,False
T,2015-05-05,False,97.505,-0.004593946199785592,0.45265210652563914,0.6134690221856869,-0.01975273912610276,-0.39613928154194133,0.3,-0.0035895595097686916,1.0,1.0,False,False
T,2015-05-06,False,97.155,-0.0035895595097686916,0.5062782165692752,0.59572142866322,0.015210986298221684,0.2241348254256574,0.5483870967741935,0.0004631773969430153,1.0,1.0,False,True
T,2015-05-07,False,97.2,0.0004631773969430153,0.5180772739522393,0.5999186307329306,0.019024131292711098,0.35736414180513437,0.65625,0.002572016460905324,1.0,1.0,False,True
T,2015-05-08,False,97.45,0.002572016460905324,0.5189787312437879,0.5593416909109997,0.006037526583759267,0.3619668915569943,0.6666666666666666,-0.001334017444843627,1.0,1.0,False,True
T,2015-05-11,False,97.32,-0.001334017444843627,0.6170845104356468,0.6669110445922423,0.03415653224945281,1.4794751402571782,1.0,-0.00339087546239214,0.0,1.0,True,True
T,2015-05-12,False,96.99,-0.00339087546239214,0.48217936235653,0.5660095620157675,0.005080952805791706,-0.12688964847450446,0.37142857142857144,0.002422930198989537,1.0,0.0,False,True
T,2015-05-13,False,97.225,0.002422930198989537,0.532881051129085,0.6050886778737308,-0.0007191814533566599,0.4782373531235871,0.75,-0.001285677552069986,1.0,1.0,False,False
T,2015-05-14,False,97.1,-0.001285677552069986,0.42473088932961056,0.5017438590514335,-0.02726991431349165,-0.8253953822691649,0.13513513513513514,0.0008753861997941037,1.0,1.0,False,False
T,2015-05-15,False,97.185,0.0008753861997941037,0.46255906083485276,0.5116825016111989,-0.03664993722285075,-0.3554113294387394,0.2894736842105263,-0.004939033801512616,1.0,1.0,False,False
T,2015-05-18,False,96.705,-0.004939033801512616,0.6646217196308161,0.7328083649299453,0.029456272425433992,2.0100704118628023,1.0,-0.0014994054082001496,0.0,1.0,True,True
T,2015-05-19,False,96.56,-0.0014994054082001496,0.570865966469561,0.7224888968931104,0.03158606609821575,0.8752069995234706,0.85,0.003314001657000798,0.0,0.0,True,True
T,2015-05-20,False,96.88,0.003314001657000798,0.46883514879236354,0.5349620879621001,0.01965154245602142,-0.33698427919723806,0.3170731707317073,-0.0021160198183319823,1.0,0.0,False,True
T,2015-05-21,False,96.675,-0.0021160198183319823,0.44228337546709934,0.5307319218861073,-0.023633794157395936,-0.6461203570684875,0.19047619047619047,0.0006723558313939115,1.0,1.0,False,False
T,2015-05-22,False,96.74,0.0006723558313939115,0.47493836559543995,0.5539094728518965,-0.050794929907321394,-0.24646808956856364,0.37209302325581395,-0.0022741368616910895,1.0,1.0,False,False
T,2015-05-25,False,96.52,-0.0022741368616910895,0.5247350684526345,0.5721978609244965,-0.008615857923077657,0.3605954876636248,0.7272727272727273,-0.008910070451719876,1.0,1.0,False,False
T,2015-05-26,False,95.66,-0.008910070451719876,0.5113694317431599,0.6446018656580338,0.01675202588871278,0.19251805854512652,0.5777777777777777,0.0014635166213674555,1.0,1.0,False,True
T,2015-05-27,False,95.8,0.0014635166213674555,0.6258210864174338,0.682997043748662,0.04035064880483889,1.5657607219790315,0.9782608695652174,-0.008350730688935215,0.0,1.0,True,True
T,2015-05-28,False,95.0,-0.008350730688935215,0.47099961422247644,0.6505101293714055,0.00932085152188723,-0.33939295619852156,0.3404255319148936,-0.0008421052631578663,1.0,0.0,False,True
T,2015-05-29,False,94.92,-0.0008421052631578663,0.5470897501358846,0.6457453744895961,0.0004339545845816695,0.5994811258042473,0.7916666666666666,-0.007427307206068212,1.0,1.0,False,True
T,2015-06-01,False,94.215,-0.007427307206068212,0.5654655002462391,0.6869560791465477,0.0029460800724609216,0.8156947948355591,0.8367346938775511,0.008225866369474089,0.0,1.0,True,True
